AuthorID,Author,Date,Content,Attachments,Reactions
"480822466160099357","giotti96#2039","03-Jan-20 08:34 AM","Is a good moment to buy kmd now ?","","👍 (1)"
"231533083818590211","Oszy#5734","03-Jan-20 08:38 AM","always 😬","",""
"423176312354635779","gcharang#6833","03-Jan-20 08:57 AM","@ffffffff (kremer) thanks! it is an unlisted page. Will update it","",""
"403205523433848833","farl#9964","03-Jan-20 09:40 AM","Komodo cost averaging 🙌","",""
"448774465036484608","cascrypto#8206","03-Jan-20 09:57 AM","could some one post the asset value's from 1 januari ? supernet, hodl , shark enz. where can i find that info?","",""
"405380797537976320","Cryptoon#3362","03-Jan-20 10:26 AM","Dexstats.info","",""
"492370391709384727","hgtaken#5346","03-Jan-20 11:20 AM","Hello, everyone 😃 
Are you guys interested in Russian videos? I know a guy who makes some pretty good videos about cryptocurrencies, maybe you should talk to him and give a new boost among Russian community","",""
"303794669945618442","PTYX#6840","03-Jan-20 01:11 PM","Videos in Chinese would be awesome too.","",""
"325692947288948747","snowh#3542","03-Jan-20 03:09 PM","anyone feel free to place some orders on the Atomicdex, i cant get anything through since days on atmoic dex, 1:10 kmd:hush is offer","",""
"474206298427097099","ComputerGenie 👴🏼📢#7004","03-Jan-20 03:14 PM","CEX market is like 1:12.5","",""
"492370391709384727","hgtaken#5346","03-Jan-20 03:16 PM","I only know russian youtubers 😅","",""
